Date,Appliance,Daily Consumption (kWh),Daily Cost (INR)
2023-01-01,TV,0.7397430933312783,4.0685870133220305
2023-01-01,Fridge,2.882140466190367,15.851772564047018
2023-01-01,AC,20.148800429983545,110.8184023649095
2023-01-01,Fan,1.766337240015628,9.714854820085954
2023-01-01,Light,0.4575393995523826,2.5164666975381045
2023-01-01,TV,1.3497387015648517,7.423562858606684
2023-01-01,Fridge,3.16864331115149,17.427538211333193
2023-01-01,AC,31.859501262199746,175.2272569420986
2023-01-01,Fan,1.668128393238791,9.17470616281335
2023-01-01,Light,0.3847317947132671,2.1160248709229688
2023-01-01,TV,1.4183207913496836,7.8007643524232595
2023-01-01,Fridge,3.4852100037326754,19.168655020529716
2023-01-01,AC,33.356095692560835,183.4585263090846
2023-01-01,Fan,1.3055692991418413,7.1806311452801275
2023-01-01,Light,0.20298383105188592,1.1164110707853725
2023-01-01,TV,1.3238016416497949,7.280909029073872
2023-01-01,Fridge,2.8081583028483856,15.444870665666121
2023-01-01,AC,23.934082366489804,131.63745301569392
2023-01-01,Fan,1.8416533264317165,10.12909329537444
2023-01-01,Light,0.2805950974244272,1.5432730358343494
2023-01-01,TV,1.0072306506122062,5.539768578367134
2023-01-01,Fridge,2.904474289568892,15.974608592628906
2023-01-01,AC,23.01905349940359,126.60479424671975
2023-01-01,Fan,1.4384572167413845,7.911514692077615
2023-01-01,Light,0.39376374603231523,2.1657006031777337
2023-01-02,TV,1.3015669253351998,7.158618089343599
2023-01-02,Fridge,2.709658360090778,14.90312098049928
2023-01-02,AC,24.443066731419364,134.4368670228065
2023-01-02,Fan,1.814667644201783,9.980672043109807
2023-01-02,Light,0.19881131589534443,1.0934622374243943
2023-01-02,TV,0.9765291070425717,5.370910088734144
2023-01-02,Fridge,2.927780740725859,16.102794073992225
2023-01-02,AC,24.163730018196162,132.9005151000789
2023-01-02,Fan,1.7113109519081446,9.412210235494795
2023-01-02,Light,0.3647806438193959,2.0062935410066776
2023-01-02,TV,0.812045411507732,4.466249763292526
2023-01-02,Fridge,2.8862541621879063,15.874397892033485
2023-01-02,AC,32.497296780769815,178.73513229423398
2023-01-02,Fan,1.7660106108638265,9.713058359751045
2023-01-02,Light,0.36244608120342087,1.9934534466188147
2023-01-02,TV,1.0273175062844555,5.650246284564505
2023-01-02,Fridge,3.3790639466154597,18.584851706385027
2023-01-02,AC,28.898975973797505,158.94436785588627
2023-01-02,Fan,1.5361583375732775,8.448870856653025
2023-01-02,Light,0.46673935930967275,2.5670664762032
2023-01-02,TV,1.1893991582955015,6.541695370625258
2023-01-02,Fridge,3.066101393744763,16.863557665596197
2023-01-02,AC,30.731647918663228,169.02406355264776
2023-01-02,Fan,1.8669466703327853,10.268206686830318
2023-01-02,Light,0.34559645527808497,1.9007805040294674
2023-01-03,TV,1.1169669472983885,6.143318210141137
2023-01-03,Fridge,2.77909227775446,15.285007527649531
2023-01-03,AC,32.93896753288613,181.1643214308737
2023-01-03,Fan,1.3996763501015537,7.698219925558545
2023-01-03,Light,0.4314442756427911,2.372943516035351
2023-01-03,TV,1.3119916926551694,7.215954309603432
2023-01-03,Fridge,2.6916420247269657,14.804031135998311
2023-01-03,AC,26.351498305450512,144.9332406799778
2023-01-03,Fan,1.4312861836847806,7.872074010266293
2023-01-03,Light,0.25340628106370977,1.3937345458504038
2023-01-03,TV,1.1779250194355435,6.4785876068954895
2023-01-03,Fridge,2.8718776149877088,15.795326882432398
2023-01-03,AC,29.20201901119074,160.61110456154907
2023-01-03,Fan,1.548539662002688,8.516968141014784
2023-01-03,Light,0.26839978528120934,1.4761988190466513
2023-01-03,TV,1.3805869510896196,7.593228230992908
2023-01-03,Fridge,3.2427808440223154,17.835294642122733
2023-01-03,AC,19.31159554076223,106.21377547419226
2023-01-03,Fan,1.6809969321875458,9.245483127031502
2023-01-03,Light,0.3189768455085807,1.7543726502971937
2023-01-03,TV,1.355011429153052,7.452562860341786
2023-01-03,Fridge,2.6466948455408543,14.5568216504747
2023-01-03,AC,24.78712466465673,136.329185655612
2023-01-03,Fan,1.3615729219476385,7.488651070712011
2023-01-03,Light,0.1286463806115609,0.7075550933635849
2023-01-04,TV,1.252753927878388,6.890146603331133
2023-01-04,Fridge,2.7050942158886624,14.878018187387642
2023-01-04,AC,27.203696894926168,149.62033292209392
2023-01-04,Fan,1.7949911571759183,9.872451364467551
2023-01-04,Light,0.13338128555759954,0.7335970705667975
2023-01-04,TV,1.0070034919001964,5.53851920545108
2023-01-04,Fridge,2.890279589064653,15.896537739855592
2023-01-04,AC,22.386274308906042,123.12450869898323
2023-01-04,Fan,1.8874962454794917,10.381229350137204
2023-01-04,Light,0.14679881684123255,0.8073934926267791
2023-01-04,TV,0.8499099942325244,4.674504968278884
2023-01-04,Fridge,3.1499722062046076,17.324847134125342
2023-01-04,AC,33.99847517156988,186.99161344363432
2023-01-04,Fan,1.5656477709058485,8.611062739982167
2023-01-04,Light,0.26961024410974305,1.4828563426035868
2023-01-04,TV,0.9847685795910436,5.4162271877507395
2023-01-04,Fridge,2.736239803806945,15.049318920938196
2023-01-04,AC,34.83356611858499,191.58461365221746
2023-01-04,Fan,1.606733370266107,8.837033536463588
2023-01-04,Light,0.2912447194135971,1.601845956774784
2023-01-04,TV,1.4323339711102052,7.877836841106129
2023-01-04,Fridge,3.4895298809891413,19.192414345440277
2023-01-04,AC,23.810128715194413,130.95570793356927
2023-01-04,Fan,1.273943204762699,7.006687626194845
2023-01-04,Light,0.1762316200795052,0.9692739104372787
2023-01-05,TV,0.9636107517461026,5.299859134603564
2023-01-05,Fridge,2.5022627077869077,13.762444892827993
2023-01-05,AC,19.73824986912311,108.5603742801771
2023-01-05,Fan,1.640955372231771,9.02525454727474
2023-01-05,Light,0.3339128740078602,1.836520807043231
2023-01-05,TV,0.9017505908386673,4.95962824961267
2023-01-05,Fridge,2.514767256315235,13.831219909733791
2023-01-05,AC,30.330020265130408,166.81511145821725
2023-01-05,Fan,1.4366247014282802,7.9014358578555415
2023-01-05,Light,0.29493206357048674,1.622126349637677
2023-01-05,TV,1.0976872354703808,6.037279795087095
2023-01-05,Fridge,3.0548553919209676,16.80170465556532
2023-01-05,AC,25.1145995883411,138.13029773587604
2023-01-05,Fan,1.739437629573681,9.566906962655246
2023-01-05,Light,0.3370607602575897,1.8538341814167434
2023-01-05,TV,0.9694151491462225,5.331783320304224
2023-01-05,Fridge,2.996083430252162,16.47845886638689
2023-01-05,AC,28.504882198332112,156.77685209082662
2023-01-05,Fan,1.8606598395218172,10.233629117369995
2023-01-05,Light,0.31708638549232165,1.7439751202077691
2023-01-05,TV,1.3343400293727008,7.338870161549854
2023-01-05,Fridge,2.5150904538307945,13.83299749606937
2023-01-05,AC,20.24677526742082,111.3572639708145
2023-01-05,Fan,1.3305458500652163,7.318002175358689
2023-01-05,Light,0.16516823726665628,0.9084253049666096
2023-01-06,TV,1.0028078063819186,5.515442935100552
2023-01-06,Fridge,3.449652553012096,18.973089041566528
2023-01-06,AC,30.4971481766652,167.7343149716586
2023-01-06,Fan,1.6849138997245532,9.267026448485042
2023-01-06,Light,0.46394331100838426,2.5516882105461134
2023-01-06,TV,0.7600501397764127,4.18027576877027
2023-01-06,Fridge,2.5850899680179538,14.217994824098746
2023-01-06,AC,30.191354691514814,166.05245080333148
2023-01-06,Fan,1.2301273166984188,6.765700241841303
2023-01-06,Light,0.4101293102476643,2.255711206362154
2023-01-06,TV,1.1576376882469372,6.367007285358155
2023-01-06,Fridge,3.549637605830997,19.523006832070482
2023-01-06,AC,28.92770777383856,159.10239275611207
2023-01-06,Fan,1.3824402508078428,7.603421379443136
2023-01-06,Light,0.40811330014374075,2.244623150790574
2023-01-06,TV,1.2620965854366029,6.941531219901316
2023-01-06,Fridge,3.361590986113276,18.488750423623017
2023-01-06,AC,30.45405014469266,167.49727579580963
2023-01-06,Fan,1.5104786180617262,8.307632399339495
2023-01-06,Light,0.4585455305492003,2.5220004180206015
2023-01-06,TV,0.9991623335978539,5.495392834788197
2023-01-06,Fridge,3.4396080709862193,18.917844390424207
2023-01-06,AC,27.613691140301167,151.8753012716564
2023-01-06,Fan,1.8677092723324926,10.27240099782871
2023-01-06,Light,0.14765683331131163,0.812112583212214
2023-01-07,TV,1.1494513317507542,6.321982324629148
2023-01-07,Fridge,3.4126544185096956,18.769599301803325
2023-01-07,AC,30.236628202648323,166.30145511456578
2023-01-07,Fan,1.4608153160496724,8.034484238273198
2023-01-07,Light,0.3721228168662068,2.0466754927641375
2023-01-07,TV,0.7927044468992962,4.3598744579461295
